('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         892134 function calls (870946 primitive calls) in 1.824 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      132    0.000    0.000    0.000    0.000 typing.py:789(<genexpr>)
       21    0.000    0.000    0.001    0.000 typing.py:806(Optional)
       12    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
        1    0.000    0.000    0.060    0.060 formatter.py:1(<module>)
      391    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       26    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
      168    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
       14    0.000    0.000    0.000    0.000 _compiler.py:394(_bytes_to_codes)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.014    0.014 api.py:1(<module>)
   109/91    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
