('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         998852 function calls (974113 primitive calls) in 7.844 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       23    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
    83/45    0.000    0.000    0.111    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      906    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
      418    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
        4    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
      216    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      313    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
        4    0.000    0.000    0.000    0.000 {built-in method nt._path_exists}
      214    0.000    0.000    0.000    0.000 _virtualenv.py:53(find_spec)
      943    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      133    0.000    0.000    0.000    0.000 <frozen _collections_abc>:827(items)
       34    0.000    0.000    0.000    0.000 enum.py:1059(_add_member_)
      295    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      666    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      530    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      538    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
      209    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      201    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      516    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      277    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      536    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
      204    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
      312    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x000001E447DF0CC0}
      258    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       65    0.000    0.000    0.001    0.000 typing.py:1023(__init__)
        2    0.000    0.000    0.023    0.011 connection.py:1(<module>)
      259    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       92    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       21    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
       58    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.071    0.071 ssl.py:1365(do_handshake)
        2    0.000    0.000    0.001    0.001 cookies.py:1(<module>)
        2    0.000    0.000    0.004    0.002 request.py:1(<module>)
       28    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
      196    0.000    0.000    0.004    0.000 _parser.py:97(closegroup)
