('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         892107 function calls (870847 primitive calls) in 1.729 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.000    0.000    0.000    0.000 enum.py:921(<lambda>)
       99    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
       99    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
       99    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
       99    0.000    0.000    0.001    0.000 typing.py:1423(__init__)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       97    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       92    0.000    0.000    0.000    0.000 typing.py:1639(<genexpr>)
       90    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     90/1    0.001    0.000    1.729    1.729 {built-in method builtins.exec}
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       89    0.000    0.000    0.000    0.000 enum.py:1596(__or__)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
       88    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
       88    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1017(create_module)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(<genexpr>)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
       88    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
       88    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(__init__)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1209(get_filename)
     88/4    0.000    0.000    0.176    0.044 <frozen importlib._bootstrap_external>:1020(exec_module)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       88    0.015    0.000    0.015    0.000 {built-in method _io.open_code}
       88    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       88    0.008    0.000    0.008    0.000 {built-in method marshal.loads}
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
       80    0.000    0.000    0.000    0.000 <frozen os>:735(__iter__)
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       76    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       71    0.000    0.000    0.000    0.000 _parser.py:303(checkgroupname)
       71    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
       69    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       65    0.008    0.000    0.008    0.000 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    63/42    0.000    0.000    0.002    0.000 typing.py:574(__getitem__)
       61    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       58    0.000    0.000    0.000    0.000 element.py:2508(__eq__)
       58    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
    56/16    0.000    0.000    0.009    0.001 css_parser.py:925(parse_selectors)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       55    0.000    0.000    1.008    0.018 {method 'readline' of '_io.BufferedReader' objects}
       54    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
       53    0.000    0.000    0.000    0.000 __init__.py:305(escape)
       53    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       52    0.000    0.000    0.000    0.000 __init__.py:432(<genexpr>)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1939(__init__)
       52    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       50    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
    48/34    0.000    0.000    0.065    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       47    0.000    0.000    0.000    0.000 ipaddress.py:1774(_parse_hextet)
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       46    0.000    0.000    0.000    0.000 __init__.py:613(__missing__)
